"State","Date","RegionID","Zip","Metro","County","City","SizeRank","Value","Monthly","Quarterly","Annual","Five_Year","Ten_Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI","StateName","location"
"AK","2016-05-31",100387,99712,"Fairbanks","Fairbanks North Star","Fairbanks",8041,245600,0.00163132137030995,0.000814995925020375,0.0645860424794105,0.00462371110256954,0.0118530909395222,"2008-06","2008-Q2",263800,-0.0689916603487491,"2008-03","Alaska","Fairbanks, AK 99712"
"AK","2016-05-31",100236,99518,"Anchorage","Anchorage","Anchorage",7875,230600,-0.00388768898488121,-0.00646273158121499,0.0100744634253176,0.0183104187200303,0.00457989119223456,"2008-06","2008-Q2",241800,-0.0463192721257237,"2006-09","Alaska","Anchorage, AK 99518"
"AK","2016-05-31",100334,99654,"Anchorage","Matanuska Susitna","Tanaina",3806,242200,0.00206868018204386,0.00372979693327808,0.0421686746987952,0.0287462980766213,0.00496357479408904,"2009-11","2009-Q4",254600,-0.0487038491751767,"2007-05","Alaska","Tanaina, AK 99654"
"AK","2016-05-31",100233,99515,"Anchorage","Anchorage","Anchorage",5300,326000,-0.000613120784794605,-0.00244798041615667,0.0280668558814254,0.0215743875154544,0.00164047157047142,"2007-08","2007-Q3",331700,-0.0171842025927042,"2006-07","Alaska","Anchorage, AK 99515"
"AK","2016-05-31",100235,99517,"Anchorage","Anchorage","Anchorage",5967,289500,0.00381414701803051,0.0200845665961945,0.0557986870897155,0.0282153430090883,0.00865361585822622,"2016-05","2016-Q2",289500,0,"2016-05","Alaska","Anchorage, AK 99517"
"AK","2016-05-31",100297,99611,"","Kenai Peninsula","Kenai",6714,210900,0.00142450142450142,0.00957395883197702,0.04199604743083,0.020769201936528,,"2016-05","2016-Q2",210900,0,"2016-05","Alaska","Kenai, AK 99611"
"AK","2016-05-31",100227,99508,"Anchorage","Anchorage","Anchorage",2550,241500,0,0.00374064837905237,0.0207100591715976,0.0219076369672744,0.00449856396819381,"2008-06","2008-Q2",247900,-0.0258168616377572,"2006-09","Alaska","Anchorage, AK 99508"
"AK","2016-05-31",100376,99701,"Fairbanks","Fairbanks North Star","Fairbanks",5618,172100,-0.000580720092915215,-0.00520231213872832,-0.024929178470255,-0.00871568008166701,-0.0160862354469061,"2008-07","2008-Q3",238400,-0.278104026845638,"2004-07","Alaska","Fairbanks, AK 99701"
"AK","2016-05-31",100265,99567,"Anchorage","Anchorage","Anchorage",8496,329900,-0.00332326283987915,-0.010497900419916,0.000303214069132808,0.0118692199449717,-0.00123437900093892,"2007-06","2007-Q2",364900,-0.0959166895039737,"2006-04","Alaska","Anchorage, AK 99567"
"AK","2016-05-31",100326,99645,"Anchorage","Matanuska Susitna","Palmer",4057,245300,-0.00203417412530513,-0.00284552845528455,0.0324074074074074,0.0292209248304434,0.00515760465666237,"2009-11","2009-Q4",263800,-0.0701288855193328,"2007-01","Alaska","Palmer, AK 99645"
"AK","2016-05-31",100301,99615,"","Kodiak Island","Kodiak",7085,277900,0.041994750656168,0.0767144517628826,0.0725588575839444,0.0131712921995282,,"2016-05","2016-Q2",277900,0,"2016-05","Alaska","Kodiak, AK 99615"
"AK","2016-05-31",100226,99507,"Anchorage","Anchorage","Anchorage",2048,285100,0.00105337078651685,0.00884642604387827,0.0149519401922392,0.0246642244811128,0.00310389754781593,"2007-10","2007-Q4",296900,-0.0397440215560795,"2006-08","Alaska","Anchorage, AK 99507"
"AK","2016-05-31",100221,99502,"Anchorage","Anchorage","Anchorage",4660,297100,0.00134816312773846,0.004394861392833,0.0241296104791451,0.027907702191974,0.00501617028941559,"2007-07","2007-Q3",303700,-0.0217319723411261,"2007-01","Alaska","Anchorage, AK 99502"
"AK","2016-05-31",100459,99801,"Juneau","Juneau","Juneau",3954,322500,-0.000619770684846607,0.00467289719626168,-0.0503533568904594,0.01055896337981,0.00293040247159149,"2007-07","2007-Q3",341500,-0.0556368960468521,"2007-03","Alaska","Juneau, AK 99801"
"AK","2016-05-31",100223,99504,"Anchorage","Anchorage","Anchorage",1632,256600,0.00078003120124805,0.0054858934169279,0.0380258899676375,0.0221291244377158,-0.000891945437571429,"2006-10","2006-Q4",271300,-0.0541835606339845,"2006-05","Alaska","Anchorage, AK 99504"
"AK","2016-05-31",100256,99556,"","Kenai Peninsula","Anchor Point",11786,162300,0.00995644057249533,0.0403846153846154,0.0587084148727984,-0.0256313312414547,,"2010-05","2010-Q2",196100,-0.172361040285569,"","Alaska","Anchor Point, AK 99556"
"AK","2016-05-31",100234,99516,"Anchorage","Anchorage","Anchorage",5991,448600,-0.00155797907856666,0.00111582236108012,0.0223336371923428,0.0203069673215226,0.0025774023836751,"2008-04","2008-Q2",474300,-0.0541851149061775,"2006-09","Alaska","Anchorage, AK 99516"
"AK","2016-05-31",100380,99705,"Fairbanks","Fairbanks North Star","North Pole",5327,207900,0.00192771084337349,0.00483325277912035,0.0379430853719421,-0.000576203206114401,-0.000623159488105207,"2008-05","2008-Q2",254500,-0.183104125736739,"2005-12","Alaska","North Pole, AK 99705"
"AK","2016-05-31",100384,99709,"Fairbanks","Fairbanks North Star","Fairbanks",4436,225700,0.00758928571428571,0.0240471869328494,0.0453913849004169,0.000354830214411184,0.00224274826199578,"2008-05","2008-Q2",267000,-0.154681647940075,"2006-10","Alaska","Fairbanks, AK 99709"
"AK","2016-05-31",100274,99577,"Anchorage","Anchorage","Anchorage",4020,318800,-0.00187852222917971,-0.00839813374805599,0.0101394169835234,0.0156387431031919,-0.00362792695989023,"2006-11","2006-Q4",343600,-0.0721769499417928,"2006-02","Alaska","Anchorage, AK 99577"
"AK","2016-05-31",100478,99901,"Ketchikan","Ketchikan Gateway","Ketchikan",6884,228800,0.0200624164065983,0.0452261306532663,0.0367014046216584,0.00641535170491037,,"2016-05","2016-Q2",228800,0,"2016-05","Alaska","Ketchikan, AK 99901"
"AK","2016-05-31",100220,99501,"Anchorage","Anchorage","Anchorage",5251,247500,-0.00562474889513861,-0.00482509047044632,0.00855745721271394,0.0110219462787278,0.00762324785220447,"2008-02","2008-Q1",255700,-0.0320688306609308,"2007-08","Alaska","Anchorage, AK 99501"
"AK","2016-05-31",100222,99503,"Anchorage","Anchorage","Anchorage",6387,231200,-0.00129589632829374,0.00173310225303293,0.0131463628396144,0.017874965959876,0.00654440184660654,"2007-05","2007-Q2",243300,-0.0497328401150843,"2006-09","Alaska","Anchorage, AK 99503"
"AK","2016-05-31",100344,99664,"","Kenai Peninsula","Seward",10112,216100,0.00839944003733084,0.0613948919449902,0.165587918015102,0.0336970681975204,,"2010-05","2010-Q2",250000,-0.1356,"","Alaska","Seward, AK 99664"
"AL","2016-05-31",73962,36603,"Mobile","Mobile","Mobile",8936,43100,0,-0.0485651214128035,-0.0589519650655022,-0.0475922600567302,-0.0164964116854959,"2009-07","2009-Q3",60300,-0.285240464344942,"2004-10","Alabama","Mobile, AL 36603"
"AL","2016-05-31",73761,36117,"Montgomery","Montgomery","Montgomery",388,168100,-0.00178147268408551,0.00779376498800959,0.0338253382533825,0.00841787479139122,,"2009-12","2009-Q4",182000,-0.0763736263736264,"2009-10","Alabama","Montgomery, AL 36117"
"AL","2016-05-31",73332,35124,"Birmingham","Shelby","Pelham",4082,178300,0.00224845418774592,0.00450704225352113,0.0200228832951945,0.0215122149403757,0.00395455055215055,"2016-05","2016-Q2",178300,0,"2016-05","Alabama","Pelham, AL 35124"
"AL","2016-05-31",73338,35131,"Birmingham","Saint Clair","Ragland",10515,103600,0.0058252427184466,0.0318725099601594,0.122426868905742,0.0374579378101598,0.0147374108030143,"2016-05","2016-Q2",103600,0,"2016-05","Alabama","Ragland, AL 35131"
"AL","2016-05-31",73403,35234,"Birmingham","Jefferson","Birmingham",9735,55700,0.0127272727272727,0.0257826887661142,0.0391791044776119,-0.0104370678180611,,"2010-11","2010-Q4",62600,-0.110223642172524,"","Alabama","Birmingham, AL 35234"
"AL","2016-05-31",73788,36251,"","Clay","Ashland",9667,96500,0.00730688935281837,0.0211640211640212,0.0639470782800441,0.0281337256606231,-0.00194787998592982,"2006-05","2006-Q2",98400,-0.0193089430894309,"2006-02","Alabama","Ashland, AL 36251"
"AL","2016-05-31",73295,35058,"Cullman","Cullman","Cullman",7798,115700,-0.000863557858376511,-0.0119555935098207,0.035810205908684,0.0157572159764512,,"2009-08","2009-Q3",135400,-0.145494830132939,"","Alabama","Cullman, AL 35058"
"AL","2016-05-31",73898,36507,"Daphne","Baldwin","Bay Minette",5493,120100,-0.00414593698175788,-0.0163800163800164,0.047079337401918,0.023751028180105,0.00236178196609149,"2015-12","2015-Q4",123000,-0.0235772357723577,"2015-10","Alabama","Bay Minette, AL 36507"
"AL","2016-05-31",73610,35773,"Huntsville","Madison","Harvest",7237,125300,-0.000797448165869219,0.00642570281124498,0.028735632183908,0.00420250791085297,-0.0030603804041206,"2007-04","2007-Q2",139700,-0.103078024337867,"2006-04","Alabama","Harvest, AL 35773"
"AL","2016-05-31",73270,35022,"Birmingham","Jefferson","Bessemer",4687,153100,0.00261951538965291,0.0172757475083056,0.0288978494623656,0.013459585180009,0.000721338221107315,"2007-09","2007-Q3",161400,-0.0514250309789343,"2006-07","Alabama","Bessemer, AL 35022"
"AL","2016-05-31",73281,35042,"Birmingham","Bibb","Centreville",9336,101500,-0.0107212475633528,-0.0360873694207028,-0.0549348230912477,0.0185233999816232,-0.017175719259535,"2007-12","2007-Q4",129800,-0.218027734976888,"2005-04","Alabama","Centreville, AL 35042"
"AL","2016-05-31",73931,36551,"Daphne","Baldwin","Loxley",8529,152900,0.000654450261780105,0.00196592398427261,0.0394289598912305,0.0214590426448973,-0.00680189879405335,"2007-01","2007-Q1",166700,-0.0827834433113377,"2006-01","Alabama","Loxley, AL 36551"
"AL","2016-05-31",73335,35127,"Birmingham","Jefferson","Pleasant Grove",8268,130200,-0.00306278713629403,-0.00762195121951219,0.0457831325301205,0.0154364185479048,-0.00651887964422315,"2007-10","2007-Q4",147000,-0.114285714285714,"2005-03","Alabama","Pleasant Grove, AL 35127"
"AL","2016-05-31",73260,35007,"Birmingham","Shelby","Alabaster",3866,152200,0.003295978905735,0.0146666666666667,0.0381991814461119,0.0197814626674604,0.000395075243606602,"2008-04","2008-Q2",152800,-0.00392670157068063,"2008-03","Alabama","Alabaster, AL 35007"
"AL","2016-05-31",73301,35068,"Birmingham","Jefferson","Fultondale",8267,126000,-0.00316455696202532,-0.000793021411578113,0.0227272727272727,0.0189700645864916,0.001520576379755,"2007-10","2007-Q4",129100,-0.024012393493416,"2007-08","Alabama","Fultondale, AL 35068"
"AL","2016-05-31",73597,35759,"Huntsville","Madison","Meridianville",8694,161900,0.000618046971569839,0.00123685837971552,0.0195214105793451,0.000494866009978168,0.000806530988435528,"2008-11","2008-Q4",180100,-0.10105496946141,"2006-06","Alabama","Meridianville, AL 35759"
"AL","2016-05-31",73690,36022,"Montgomery","Elmore","Deatsville",7236,148300,-0.00336021505376344,-0.0152722443559097,-0.00536552649228706,0.0123096775876161,-0.0013387078915742,"2009-05","2009-Q2",186000,-0.202688172043011,"2006-01","Alabama","Deatsville, AL 36022"
"AL","2016-05-31",73754,36110,"Montgomery","Montgomery","Montgomery",7357,44200,-0.00225733634311512,0.011441647597254,-0.037037037037037,-0.0462229931819268,-0.0323342051825386,"2005-10","2005-Q4",62400,-0.291666666666667,"","Alabama","Montgomery, AL 36110"
"AL","2016-05-31",73599,35761,"Huntsville","Madison","New Market",7480,142700,0,0.00563777307963354,0.0593912397921307,0.0104083709748346,0.00676199887107076,"2008-11","2008-Q4",149300,-0.044206296048225,"2007-12","Alabama","New Market, AL 35761"
"AL","2016-05-31",73404,35235,"Birmingham","Jefferson","Birmingham",5118,107300,0.00656660412757974,0.0267942583732057,0.0816532258064516,0.00978697662343442,-0.0111239752025589,"2006-07","2006-Q3",120700,-0.111019055509528,"2003-12","Alabama","Birmingham, AL 35235"
"AL","2016-05-31",73825,36316,"Enterprise","Coffee","Chancellor",12531,111400,0.0081447963800905,0.0362790697674419,0.0362790697674419,-0.00959200857392806,,"2009-11","2009-Q4",152600,-0.269986893840105,"","Alabama","Chancellor, AL 36316"
"AL","2016-05-31",73489,35490,"Tuscaloosa","Tuscaloosa","Vance",10718,137200,0.00512820512820513,0.0132939438700148,0.0346907993966818,0.0375611298089336,0.00799354191315871,"2015-12","2015-Q4",137900,-0.0050761421319797,"2015-11","Alabama","Vance, AL 35490"
"AL","2016-05-31",73801,36266,"","Clay","Lineville",9312,109400,0.00736648250460405,0.00551470588235294,0.0757128810226155,0.0222526598988266,0.00812089327557985,"2015-12","2015-Q4",110200,-0.00725952813067151,"2015-11","Alabama","Lineville, AL 36266"
"AL","2016-05-31",73326,35117,"Birmingham","Jefferson","Mount Olive",9545,145400,0.00137741046831956,0.0132404181184669,0.0341394025604552,0.0202996337095065,0,"2007-09","2007-Q3",151400,-0.0396301188903567,"2006-05","Alabama","Mount Olive, AL 35117"
"AL","2016-05-31",73952,36580,"Daphne","Baldwin","Summerdale",9702,147600,0.000677966101694915,0.0102669404517454,0.075801749271137,0.0361283990126049,0.000203479568938292,"2007-01","2007-Q1",161800,-0.0877626699629172,"2006-06","Alabama","Summerdale, AL 36580"
"AL","2016-05-31",73479,35475,"Tuscaloosa","Tuscaloosa","Northport",6398,203500,0.00196947316592811,0.00394671928959053,0.0699263932702418,0.0258733916297764,0.00494774330424574,"2015-12","2015-Q4",207200,-0.0178571428571429,"2015-10","Alabama","Northport, AL 35475"
"AL","2016-05-31",73373,35203,"Birmingham","Jefferson","Birmingham",10850,185900,0,0.0119760479041916,0.0586560364464692,0.0493632117489522,0.0127985503067227,"2015-09","2015-Q3",188200,-0.012221041445271,"2015-08","Alabama","Birmingham, AL 35203"
"AL","2016-05-31",73259,35006,"Birmingham","Jefferson","North Johns",10958,76100,-0.00911458333333333,-0.0256081946222791,0.0297699594046008,-0.016496681940171,0.00555357884598351,"2011-04","2011-Q2",83300,-0.0864345738295318,"2009-12","Alabama","North Johns, AL 35006"
"AL","2016-05-31",73925,36544,"Mobile","Mobile","Irvington",7721,103200,0.00291545189504373,0.0217821782178218,0.0487804878048781,-0.00250051216959724,-0.0083265546076482,"2009-04","2009-Q2",122600,-0.158238172920065,"2005-10","Alabama","Irvington, AL 36544"
"AL","2016-05-31",73383,35213,"Birmingham","Jefferson","Mountain Brook",6296,482700,-0.000827985924239288,0.00520616409829238,0.00604418507711546,0.0194857638176724,0.0105987302112061,"2016-04","2016-Q2",483100,-0.000827985924239288,"2016-04","Alabama","Mountain Brook, AL 35213"
"AL","2016-05-31",73357,35173,"Birmingham","Jefferson","Trussville",3664,213900,0.00281293952180028,0.0089622641509434,0.0161520190023753,0.017840246669566,0.00203282976668651,"2007-10","2007-Q4",217300,-0.0156465715600552,"2007-08","Alabama","Trussville, AL 35173"
"AL","2016-05-31",73294,35057,"Cullman","Cullman","Good Hope",6809,134400,-0.000743494423791822,-0.0103092783505155,0.073482428115016,0.0128306524667836,,"2009-08","2009-Q3",158900,-0.154185022026432,"","Alabama","Good Hope, AL 35057"
"AL","2016-05-31",73308,35078,"Birmingham","Shelby","Harpersville",12275,137300,-0.000727802037845706,0,-0.00723065798987708,0.00517779168690091,0.00258555330051546,"2013-05","2013-Q2",152000,-0.0967105263157895,"2013-03","Alabama","Harpersville, AL 35078"
"AL","2016-05-31",73336,35128,"Birmingham","Saint Clair","Pell City",8000,182700,-0.00163934426229508,-0.00163934426229508,-0.0113636363636364,0.019848456588855,0.0129132846286104,"2015-09","2015-Q3",186700,-0.0214247455811462,"2015-01","Alabama","Pell City, AL 35128"
"AL","2016-05-31",73379,35209,"Birmingham","Jefferson","Homewood",2261,292800,-0.00238500851788756,-0.00068259385665529,0.0593342981186686,0.0489199700556209,0.0126941629964663,"2016-03","2016-Q1",293600,-0.00272479564032698,"2016-02","Alabama","Homewood, AL 35209"
"AL","2016-05-31",73720,36054,"Montgomery","Elmore","Millbrook",6338,115800,0,-0.0102564102564103,0.00608166811468288,0.00904884052883115,,"2009-08","2009-Q3",144800,-0.200276243093923,"","Alabama","Millbrook, AL 36054"
"AL","2016-05-31",73972,36613,"Mobile","Mobile","Prichard",7448,88700,0.00339366515837104,0.0148741418764302,0.00566893424036281,-0.00727911551678917,-0.00525629179654408,"2008-05","2008-Q2",109000,-0.186238532110092,"2005-12","Alabama","Prichard, AL 36613"
"AL","2016-05-31",73929,36549,"Daphne","Baldwin","Lillian",9068,163000,0.00122850122850123,-0.000613120784794605,0.04554201411161,0.0250971414500365,-0.0199544861306252,"2006-11","2006-Q4",211200,-0.228219696969697,"2004-09","Alabama","Lillian, AL 36549"
"AL","2016-05-31",73449,35405,"Tuscaloosa","Tuscaloosa","Tuscaloosa",834,154600,-0.00129198966408269,0.00324464633354964,-0.00450740502253703,0.0222378167361694,-0.00204663001666994,"2007-03","2007-Q1",161800,-0.0444993819530284,"2006-02","Alabama","Tuscaloosa, AL 35405"
"AL","2016-05-31",73978,36619,"Mobile","Mobile","Mobile",6529,113900,0.00352422907488987,0.0142475512021371,0.0517082179132041,-0.000525946995118876,-0.00635671090003087,"2007-12","2007-Q4",137400,-0.171033478893741,"2005-12","Alabama","Mobile, AL 36619"
"AL","2016-05-31",73324,35115,"Birmingham","Shelby","Montevallo",6680,121200,0.00248138957816377,0.01,0.0358974358974359,0.0175545771755876,-0.00419212919925283,"2006-04","2006-Q2",126800,-0.0441640378548896,"2006-01","Alabama","Montevallo, AL 35115"
"AL","2016-05-31",73375,35205,"Birmingham","Jefferson","Birmingham",3162,133700,0.00753579502637528,0.0245210727969349,0.0713141025641026,0.0169881789089534,0.00571008622276392,"2007-10","2007-Q4",138900,-0.0374370050395968,"2007-02","Alabama","Birmingham, AL 35205"
"AL","2016-05-31",73320,35098,"Cullman","Cullman","Logan",12875,124300,0.00729335494327391,-0.0134920634920635,0.052497883149873,0.00572868914305458,,"2009-08","2009-Q3",145300,-0.144528561596696,"","Alabama","Logan, AL 35098"
"AL","2016-05-31",74002,36693,"Mobile","Mobile","Mobile",5175,130200,0.0023094688221709,0.00308166409861325,0.0251968503937008,0.00419986786408844,-0.0145809261249333,"2006-12","2006-Q4",157100,-0.171228516868237,"2005-06","Alabama","Mobile, AL 36693"
"AL","2016-05-31",73537,35603,"Decatur","Morgan","Decatur",2531,140200,-0.00918727915194346,-0.0270645385149202,0.0278592375366569,,,"2015-09","2015-Q3",144700,-0.0310988251554941,"2015-07","Alabama","Decatur, AL 35603"
"AL","2016-05-31",73648,35953,"Birmingham","Saint Clair","Ashville",8886,152200,0.00395778364116095,0.0133155792276964,0.0518313752591569,0.0304541469615325,0.0226155854422962,"2016-05","2016-Q2",152200,0,"2016-05","Alabama","Ashville, AL 35953"
"AL","2016-05-31",73749,36105,"Montgomery","Montgomery","Montgomery",7632,47200,0.00639658848614072,0.019438444924406,-0.0347648261758691,-0.0493783873631975,-0.0232199817976766,"2007-10","2007-Q4",68900,-0.314949201741655,"","Alabama","Montgomery, AL 36105"
"AL","2016-05-31",73623,35810,"Huntsville","Madison","Huntsville",2734,76200,0.00793650793650794,0.0353260869565217,0.0839260312944523,-0.0116546527580518,-0.0130537085215467,"2008-11","2008-Q4",93900,-0.188498402555911,"2005-11","Alabama","Huntsville, AL 35810"
