"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-05-31,6181,"New York","NY","New York","Queens",0,592800,0.00287599390965996,0.0185567010309278,0.0905077262693157,0.046497149873735,0.0141093928698839,"2016-05","2016-Q2",592800,0,"2016-05"
2016-05-31,12447,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1,580000,0.00624566273421235,0.021486438886932,0.0784678319077724,0.0825560928264803,-0.00124998401715171,"2006-09","2006-Q3",593400,-0.0225817323896191,"2006-02"
2016-05-31,17426,"Chicago","IL","Chicago","Cook",2,208600,0.00433317284545017,0.0121300339640951,0.0106589147286822,0.0279970665033196,-0.0160757246829722,"2007-01","2007-Q1",247400,-0.156831042845594,"2004-05"
2016-05-31,13271,"Philadelphia","PA","Philadelphia","Philadelphia",3,126100,0.00398089171974522,0.0285481239804241,0.0686440677966102,0.015788536178506,0.0114775697375089,"2016-05","2016-Q2",126100,0,"2016-05"
2016-05-31,40326,"Phoenix","AZ","Phoenix","Maricopa",4,192000,0.00523560209424084,0.0185676392572944,0.104082806210466,0.1219551454462,-0.024201001485729,"2006-07","2006-Q3",245600,-0.218241042345277,"2005-05"
2016-05-31,18959,"Las Vegas","NV","Las Vegas","Clark",5,197200,0.00458481915435558,0.0107637109174782,0.081140350877193,0.112153402680361,-0.0403501326764684,"2006-07","2006-Q3",298100,-0.338477021133848,"2004-04"
2016-05-31,54296,"San Diego","CA","San Diego","San Diego",6,539100,0.00578358208955224,0.0158281514980215,0.0549902152641879,0.0748367602250399,0,"2005-10","2005-Q4",543200,-0.00754786450662739,"2005-08"
2016-05-31,38128,"Dallas","TX","Dallas-Fort Worth","Dallas",7,143800,0.00418994413407821,0.0242165242165242,0.187448389760528,0.0859864024813195,0.0194534964049811,"2016-05","2016-Q2",143800,0,"2016-05"
2016-05-31,33839,"San Jose","CA","San Jose","Santa Clara",8,831700,0.00386240193120097,0.0257770103601381,0.1048087141339,0.110303162088472,0.0195204095287622,"2016-05","2016-Q2",831700,0,"2016-05"
2016-05-31,25290,"Jacksonville","FL","Jacksonville","Duval",9,137800,0.00730994152046783,0.0245353159851301,0.0893280632411067,0.0462857369660976,-0.0222657188284147,"2006-11","2006-Q4",177800,-0.224971878515186,"2005-01"
2016-05-31,20330,"San Francisco","CA","San Francisco","San Francisco",10,1134100,-0.00219954249516101,0.0011475988700565,0.0738566423634126,0.108991156399822,0.0374498349952244,"2016-03","2016-Q1",1137400,-0.00290135396518375,"2016-03"
2016-05-31,10221,"Austin","TX","Austin","Travis",11,301400,0.00768973587428954,0.0279672578444748,0.0967976710334789,0.0850483881772082,0.050531177718937,"2016-05","2016-Q2",301400,0,"2016-05"
