"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-05-31,3101,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim",0,529400,0.00474473334598596,0.0186646142005003,0.0714430277271807,0.0733507061064311,-0.00471124947912294,"2006-08","2006-Q3",560000,-0.0546428571428571,"2005-10"
2016-05-31,139,"Cook","IL","Chicago",1,202400,0.00396825396825397,0.012,0.0337078651685393,0.0247619335568623,-0.0229901065344458,"2007-02","2007-Q1",259000,-0.218532818532819,"2003-05"
2016-05-31,2402,"Maricopa","AZ","Phoenix",2,227000,0.00531443755535872,0.0174809502465262,0.0850860420650096,0.103863102018051,-0.0199925852589873,"2006-04","2006-Q2",277900,-0.183159409859662,"2005-06"
2016-05-31,2841,"San Diego","CA","San Diego",3,511200,0.00432220039292731,0.0134813639968279,0.0641132389675271,0.0788946575417142,-0.00605327199502892,"2006-04","2006-Q2",543700,-0.0597756115504874,"2004-10"
2016-05-31,1286,"Orange","CA","Los Angeles-Long Beach-Anaheim",4,654500,0.0012238029677222,0.00769822940723634,0.050561797752809,0.0701603277921365,-0.00795249898017147,"2006-05","2006-Q2",708900,-0.0767386091127098,"2005-08"
2016-05-31,581,"Kings","NY","New York",5,648600,0.00933706816059757,0.0239974739501105,0.110616438356164,0.074329271048911,0.0381132586671582,"2016-05","2016-Q2",648600,0,"2016-05"
2016-05-31,2964,"Miami-Dade","FL","Miami-Fort Lauderdale",6,252400,0.0083899320815022,0.023104985812728,0.0931139021221308,0.104865567235012,-0.0211324471938451,"2007-03","2007-Q1",325500,-0.22457757296467,"2005-05"
2016-05-31,978,"Dallas","TX","Dallas-Fort Worth",7,155300,0.00452781371280724,0.0223831468071099,0.16679188580015,0.0749514231040627,0.019840085337727,"2016-05","2016-Q2",155300,0,"2016-05"
2016-05-31,1347,"Queens","NY","New York",8,455200,0.012230375806093,0.0359581247155212,0.100580270793037,0.0363371403838617,-0.00202042373477185,"2007-01","2007-Q1",492600,-0.0759236703207471,"2006-04"
2016-05-31,2832,"Riverside","CA","Riverside",9,324300,0.00620539869686627,0.0204531151667716,0.0695910290237467,0.0963919071535935,-0.0262894668692132,"2006-08","2006-Q3",425000,-0.236941176470588,"2004-08"
2016-05-31,3250,"San Bernardino","CA","Riverside",10,285600,0.00492610837438424,0.0207290922087205,0.0867579908675799,0.104566015249014,-0.0275380404325353,"2006-07","2006-Q3",378900,-0.246239113222486,"2004-12"
2016-05-31,445,"Clark","NV","Las Vegas",11,202400,0.00446650124069479,0.010989010989011,0.0765957446808511,0.1091049410465,-0.0400827295591951,"2006-05","2006-Q2",304700,-0.335740072202166,"2004-03"
2016-05-31,207,"King","WA","Seattle",12,486500,0.0135416666666667,0.047137322427895,0.144436603152199,0.0869857866451165,0.0201789341942806,"2016-05","2016-Q2",486500,0,"2016-05"
2016-05-31,791,"Wayne","MI","Detroit",13,60700,0.00330578512396694,0.00830564784053156,0.0897666068222621,0.0458981396031781,-0.0573774745622529,"2005-04","2005-Q2",112500,-0.460444444444444,
2016-05-31,2049,"Tarrant","TX","Dallas-Fort Worth",14,165800,0.00484848484848485,0.0234567901234568,0.109030100334448,0.060677884420602,0.0228276698994927,"2016-05","2016-Q2",165800,0,"2016-05"
2016-05-31,3136,"Santa Clara","CA","San Jose",15,976800,0.00607683592543001,0.0292939936775553,0.117108874656908,0.116224429609838,0.0292141099904482,"2016-05","2016-Q2",976800,0,"2016-05"
2016-05-31,1561,"Broward","FL","Miami-Fort Lauderdale",16,212500,0.00663192799621033,0.0236030828516378,0.119010005265929,0.10497854313141,-0.0294715409608965,"2006-05","2006-Q2",286600,-0.258548499651082,"2005-01"
2016-05-31,2452,"New York","NY","New York",17,1155700,-0.0139078498293515,-0.025383707201889,0.0689049204587495,0.0776401120506762,0.0411053123537126,"2004-06","2004-Q2",1197500,-0.0349060542797495,"2004-06"
2016-05-31,3175,"Philadelphia","PA","Philadelphia",18,126000,0.00318471337579618,0.0277324632952692,0.0696095076400679,0.0159761498572706,0.0113973287615656,"2016-05","2016-Q2",126000,0,"2016-05"
2016-05-31,1510,"Alameda","CA","San Francisco",19,720500,0.00194687804199694,0.0116540297669194,0.0966514459665145,0.120730714858417,0.0138515050610524,"2016-05","2016-Q2",720500,0,"2016-05"
2016-05-31,2801,"Middlesex","MA","Boston",20,458300,0.00725274725274725,0.0204854152749944,0.0745603751465416,0.0469794011180986,0.0115448643452321,"2016-05","2016-Q2",458300,0,"2016-05"
2016-05-31,2046,"Suffolk","NY","New York",21,349900,-0.00114187838995147,0,0.00777649769585253,0.000400595298513329,-0.0242809230246809,"2006-07","2006-Q3",448500,-0.21984392419175,"2003-12"
2016-05-31,3017,"Sacramento","CA","Sacramento",22,304600,0.00660938532716457,0.0224907687143337,0.104023196810439,0.109711955211684,-0.021254470629986,"2005-12","2005-Q4",386000,-0.210880829015544,"2004-07"
2016-05-31,1252,"Nassau","NY","New York",23,466200,0.00387596899224806,0.0112798264642082,0.0403927694711002,0.0262247020083428,-0.00839364266447473,"2006-09","2006-Q3",510100,-0.0860615565575377,"2005-03"
2016-05-31,2993,"Palm Beach","FL","Miami-Fort Lauderdale",24,234300,0.0060111635895234,0.0218054949847362,0.0923076923076923,0.0969732912862336,-0.0300220996211997,"2006-03","2006-Q1",320700,-0.269410664172124,"2004-11"
2016-05-31,2241,"Cuyahoga","OH","Cleveland",25,110400,0,0.000906618313689937,0.0454545454545455,0.00797726783572705,-0.0184515462440978,"2006-02","2006-Q1",134400,-0.178571428571429,"1999-08"
2016-05-31,3165,"Hillsborough","FL","Tampa",26,175800,0.005720823798627,0.0173611111111111,0.0892193308550186,0.0818992913839693,-0.021553979325763,"2006-09","2006-Q3",222400,-0.209532374100719,"2005-06"
